Topic,Words,Frequency,Timestamp,Name
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",6,2021-09-07 18:48:29.800000+00:00,11_american friends they_trust the media...
12,"committed to green, polluting our waterways permissio, shocking government committed to, absolutely shocking government committed to, fishgirls23 this is shocking",5,2021-09-07 18:48:29.800000+00:00,12_polluting our waterways_government co...
13,"all of you, vaccinate human population has, really want to, thank all of you, population has exploded",8,2021-09-07 18:48:29.800000+00:00,13_all of you_who are refusing_refusing ...
14,"its hottest summer on record, hottest summer on record this, on record this year and, record this year, record this year and temperatures",6,2021-09-07 18:48:29.800000+00:00,14_this year and_this year and temperatu...
15,"and co have, hackedoffhugh the perfect metaphor, the perfect metaphor, the perfect metaphor for what, rt hackedoffhugh the perfect",2,2021-09-07 18:48:29.800000+00:00,15_and co have_rt hackedoffhugh the perf...
16,"términos condiciones pueden variar cc, pueden variar cc cibercrimen, samuraimachete términos condiciones pueden, rt samuraimachete términos, rt samuraimachete términos condiciones",1,2021-09-07 18:48:29.800000+00:00,16_200 revistas científicas_un editorial...
17,"https co vahflnziqa, beloved city park to, automobile usage while simultaneously cutting, shortsighte https co, city park to",1,2021-09-07 18:48:29.800000+00:00,17_rt safestreetrebel slow ride to_windm...
18,"archbishop of canterbury, the archbishop of canterbury, the archbishop of, the first of its https, canterbury and the",1,2021-09-07 18:48:29.800000+00:00,18_archbishop of canterbury_the archbish...
20,"reconciliation bill must pass it, set up more, set up more safety nets, to cut child poverty in, to cut child poverty",1,2021-09-07 18:48:29.800000+00:00,20_pass it aims_must pass it aims to_it ...
23,"100 million franklin, million pat robertson 100, million joel osteen 100, kenneth copeland 760 million pat, osteen 100 million",3,2021-09-07 18:48:29.800000+00:00,23_franklin graham is_that cnn takes adv...
24,"is no danger of, little we are in danger, doing too much, change the danger is in, doing too little we are",1,2021-09-07 18:48:29.800000+00:00,24_is no danger of_is in doing_of doing ...
25,"winged germans who dislike her, many left winged, germans who dislike her in, alialali2021 johannessauerl it also many, in some aspects",1,2021-09-07 18:48:29.800000+00:00,25_does climate private_does climate pri...
28,"wow it like back in, here what filgmartin is saying, of this morning, saying but seeing events, play out wow it like",1,2021-09-07 18:48:29.800000+00:00,28_wow it like back in_here what filgmar...
-1,"climate change is, entire portfolio is, rt markyoungtruth and some how, the marxist climate change, marxist climate change lunatics",54,2021-09-07 18:49:40.100000+00:00,-1_climate change is_of climate change_y...
0,"extreme weather ah would be, extreme and climate, for decades uh scientists have, warned of extreme, have warned of extreme",57,2021-09-07 18:49:40.100000+00:00,0_and climate change_joebiden for decade...
1,"on climate change, don have any more, don have any, we don have any more, we don have any",19,2021-09-07 18:49:40.100000+00:00,1_have any more_we don have any more_don...
2,"sentiments in brazil millions, support democracy ru, rt filgmartin there is no, democratic sentiments in, millions are peacefully",18,2021-09-07 18:49:40.100000+00:00,2_of anti democratic sentiments_there is...
3,"or the filibuster, or the filibuster it, the filibuster it, to solve nh issues amp, issues amp expand opportunities senatorhassan",21,2021-09-07 18:49:40.100000+00:00,3_the filibuster it_or the filibuster it...
4,"keep up momentum of, question for those saying, n_thanki quick question for, up momentum of tackling climate, must take place",5,2021-09-07 18:49:40.100000+00:00,4_to keep up_up momentum of tackling cli...
5,"from hurricane ida, surveying damage from, with local residents, ida with local, ida with local residents",6,2021-09-07 18:49:40.100000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, to dump raw sewage, dump raw sewage, raw sewage into rivers, dump raw sewage into rivers",11,2021-09-07 18:49:40.100000+00:00,6_raw sewage into_to dump raw sewage_dum...
7,"in response to, response to climate, in response to climate, shapeshifting in response to climate, animals shapeshifting in response to",2,2021-09-07 18:49:40.100000+00:00,7_in response to climate_in response to_...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",5,2021-09-07 18:49:40.100000+00:00,8_about the indigenous_why isn everyone_...
9,"largely bust except for herbs, online debate on, on how the way we, railwaymuseum tomorrow join our panel, railwaymuseum tomorrow join our",3,2021-09-07 18:49:40.100000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",3,2021-09-07 18:49:40.100000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",4,2021-09-07 18:49:40.100000+00:00,11_american friends they_trust the media...
12,"this is shocking absolutely shocking, rt fishgirls23 this, government committed to green, committed to green, our waterways permissio",7,2021-09-07 18:49:40.100000+00:00,12_polluting our waterways_government co...
14,"its hottest summer on record, its hottest summer on, mediterranean smashed records, mediterranean smashed records by, hottest summer on record this",5,2021-09-07 18:49:40.100000+00:00,14_this year and_this year and temperatu...
15,"and co have, co have done to britain, perfect metaphor for what johnson, the perfect metaphor for what, metaphor for what johnson",1,2021-09-07 18:49:40.100000+00:00,15_and co have_rt hackedoffhugh the perf...
17,"see cyclist amp think get, get out of my, think get out of my, see cyclist amp think, amp think get out of",3,2021-09-07 18:49:40.100000+00:00,17_rt safestreetrebel slow ride to_windm...
20,"reconciliation bill must pass it, set up more, set up more safety nets, to cut child poverty in, to cut child poverty",1,2021-09-07 18:49:40.100000+00:00,20_pass it aims_must pass it aims to_it ...
21,"we keep rebuilding it by, rt grist the reality is, it by incremental, rt grist the reality, the past and we",1,2021-09-07 18:49:40.100000+00:00,21_we keep rebuilding it by_climate of t...
22,"ceebill_now the youngest in, the onslaught of climate change, ceebill_now the youngest, the onslaught of, the onslaught of climate",1,2021-09-07 18:49:40.100000+00:00,22_house who are crippled by_are cripple...
26,"staghorn coral have small fish, coral have small fish, swimming through them, coral have small fish swimming, such as tiny gobies",1,2021-09-07 18:49:40.100000+00:00,26_have small fish swimming through_fish...
27,"have 500 openings, openings that we are advertising, think that you want, that we are, posting soon if you",1,2021-09-07 18:49:40.100000+00:00,27_think that you_be posting soon if you...
-1,"entire portfolio is, are as slippery as, deniers are as slippery as, slave trade by nick cohen, slippery as those",62,2021-09-07 18:50:50.400000+00:00,-1_climate change is_of climate change_y...
0,"uh scientists have warned, more extreme and climate, extreme weather ah would be, joebiden for decades uh, decades uh scientists have warned",64,2021-09-07 18:50:50.400000+00:00,0_and climate change_joebiden for decade...
1,"change as he, climate change as he, new york and new, new york and, york and new",14,2021-09-07 18:50:50.400000+00:00,1_have any more_we don have any more_don...
2,"sentiments in brazil millions, support democracy ru, rt filgmartin there is no, democratic sentiments in, millions are peacefully",11,2021-09-07 18:50:50.400000+00:00,2_of anti democratic sentiments_there is...
3,"the filibuster it, or the filibuster, or the filibuster it, action or the filibuster, rights or the filibuster it",11,2021-09-07 18:50:50.400000+00:00,3_the filibuster it_or the filibuster it...
4,"about how wfp, here at woffordcollege about how, wfp is on the front, how wfp is, woffordcollege about how wfp",14,2021-09-07 18:50:50.400000+00:00,4_to keep up_up momentum of tackling cli...
5,"from hurricane ida, ida with local residents this, with local residents, hurricane ida with, from hurricane ida with",11,2021-09-07 18:50:50.400000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, to dump raw sewage into, to dump raw sewage, raw sewage into rivers, dump raw sewage",10,2021-09-07 18:50:50.400000+00:00,6_raw sewage into_to dump raw sewage_dum...
7,"response to climate, in response to climate, in response to, animals shapeshifting in response, response to climate crisis research",6,2021-09-07 18:50:50.400000+00:00,7_in response to climate_in response to_...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",6,2021-09-07 18:50:50.400000+00:00,8_about the indigenous_why isn everyone_...
9,"climate change https co, change https co, climate change https, trees in an, an effort to fight",7,2021-09-07 18:50:50.400000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",7,2021-09-07 18:50:50.400000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, media you know better what, of my dear american, don trust the media you",9,2021-09-07 18:50:50.400000+00:00,11_american friends they_trust the media...
12,"this is shocking absolutely shocking, absolutely shocking government committed to, rt fishgirls23 this, fishgirls23 this is, environment polluting our waterways",5,2021-09-07 18:50:50.400000+00:00,12_polluting our waterways_government co...
14,"its hottest summer on record, smashed records by, europe experienced its hottest summer, its hottest summer on, hottest summer on record this",5,2021-09-07 18:50:50.400000+00:00,14_this year and_this year and temperatu...
16,"200 revistas científicas, un editorial conjunto para, revistas científicas promueven un editorial, promueven un editorial conjunto, revistas científicas promueven",3,2021-09-07 18:50:50.400000+00:00,16_200 revistas científicas_un editorial...
17,"arson https co 0qyxifznpx, https co 0qyxifznpx, climate arson https co 0qyxifznpx, all for bike advocacy protected, more freeways no more",1,2021-09-07 18:50:50.400000+00:00,17_rt safestreetrebel slow ride to_windm...
18,"pope patriarch and canterbury abbot, pope patriarch and canterbury, appeal https co 5ijiiqlkk0, abbot issue climate appeal https, abbot issue climate appeal",1,2021-09-07 18:50:50.400000+00:00,18_archbishop of canterbury_the archbish...
19,"you global far right power, aided by big tech, brooklynmarie the fuck did, by big tech on, cusp of climate meltdown",2,2021-09-07 18:50:50.400000+00:00,19_aided by big_you global far right_the...
20,"reconciliation bill must pass it, set up more, set up more safety nets, to cut child poverty in, to cut child poverty",2,2021-09-07 18:50:50.400000+00:00,20_pass it aims_must pass it aims to_it ...
22,"student debt who are, who are contendi rt, can buy house who, perfectly reasonable to, rt getbrexit_done it perfectly reasonable",2,2021-09-07 18:50:50.400000+00:00,22_house who are crippled by_are cripple...
23,"franklin graham is, has no problem, people alive he doesn, believe in stimulus, believe in stimulus checks",1,2021-09-07 18:50:50.400000+00:00,23_franklin graham is_that cnn takes adv...
24,"is no danger of, little we are in danger, doing too much, change the danger is in, doing too little we are",1,2021-09-07 18:50:50.400000+00:00,24_is no danger of_is in doing_of doing ...
27,"logo flyer brochure, looking for logo, leaflet designer contact https, for logo flyer brochure, flyer brochure banner poster leaflet",1,2021-09-07 18:50:50.400000+00:00,27_think that you_be posting soon if you...
28,"wow it like back in, here what filgmartin is saying, morning play out wow it, rt matthewtyrmand knew this here, morning play out wow",2,2021-09-07 18:50:50.400000+00:00,28_wow it like back in_here what filgmar...
-1,"erin toole pro, climate change is, about climate change, do something about, yes it is",49,2021-09-07 18:52:00.700000+00:00,-1_climate change is_of climate change_y...
0,"and climate change, warned of extreme weather ah, for decades uh scientists, ah would be more, joebiden for decades uh scientists",50,2021-09-07 18:52:00.700000+00:00,0_and climate change_joebiden for decade...
1,"on climate change, than murdoch promises on climate, murdoch promises on, there is nothing more hollow, there is nothing more",20,2021-09-07 18:52:00.700000+00:00,1_have any more_we don have any more_don...
2,"sentiments in brazil millions, support democracy ru, rt filgmartin there is no, democratic sentiments in, millions are peacefully",14,2021-09-07 18:52:00.700000+00:00,2_of anti democratic sentiments_there is...
3,"disappointing lack of rt, lack of rt, vague disappointing lack of rt, frustratingly vague disappointing lack, on the ndp plan",8,2021-09-07 18:52:00.700000+00:00,3_the filibuster it_or the filibuster it...
4,"more of it, more of it more of, of it more, of it more of, it more of it",5,2021-09-07 18:52:00.700000+00:00,4_to keep up_up momentum of tackling cli...
5,"from hurricane ida, hurricane ida with local residents, potus surveying damage from hurricane, with local residents this community, from hurricane ida with",11,2021-09-07 18:52:00.700000+00:00,5_from hurricane ida_with local resident...
6,"raw sewage into, to dump raw sewage into, sewage into rivers, to dump raw sewage, dump raw sewage",13,2021-09-07 18:52:00.700000+00:00,6_raw sewage into_to dump raw sewage_dum...
7,"response to climate, in response to climate, in response to, animals shapeshifting in, to climate crisis",85,2021-09-07 18:52:00.700000+00:00,7_in response to climate_in response to_...
8,"why isn everyone talking about, about the indigenous resistance against, the indigenous resistance against, report indigenous resistance has, talking about the indigenous resistance",10,2021-09-07 18:52:00.700000+00:00,8_about the indigenous_why isn everyone_...
9,"effort to fight, in an effort to fight, an effort to, an effort to fight, pakistan has pledged to plant",7,2021-09-07 18:52:00.700000+00:00,9_has pledged to plant_an effort to_effo...
10,"it hard to picture better, it hard to picture, called climate targets, called climate targets in an, eu discuss its",9,2021-09-07 18:52:00.700000+00:00,10_an event presented_it hard to picture...
11,"american friends they, the media you know better, my dear american, of my dear american friends, don trust the media",4,2021-09-07 18:52:00.700000+00:00,11_american friends they_trust the media...
12,"on going dangers, present on going dangers, oceans and present on, plastic and other, and present on going dangers",3,2021-09-07 18:52:00.700000+00:00,12_polluting our waterways_government co...
13,"all of you, vaccinate human population has exploded, thank all of, really want to thank all, really want to thank",2,2021-09-07 18:52:00.700000+00:00,13_all of you_who are refusing_refusing ...
14,"its hottest summer on record, hottest summer on record, on record this, on record this year and, europe experienced its hottest",2,2021-09-07 18:52:00.700000+00:00,14_this year and_this year and temperatu...
15,"and co have, hackedoffhugh the perfect metaphor, the perfect metaphor, the perfect metaphor for what, rt hackedoffhugh the perfect",1,2021-09-07 18:52:00.700000+00:00,15_and co have_rt hackedoffhugh the perf...
16,"is launching an investigative, focused on animal agriculture, journalism arm in brazil focused, on animal agriculture, launching an investigative",1,2021-09-07 18:52:00.700000+00:00,16_200 revistas científicas_un editorial...
17,"meet 30 roll, rt safestreetrebel slow ride to, service cuts thursday murphy, service cuts thursday murphy windmill, thursday murphy windmill meet 30",3,2021-09-07 18:52:00.700000+00:00,17_rt safestreetrebel slow ride to_windm...
18,"archbishop of canterbury, joint statement the pope ecumenical, canterbury urged world leaders to, of canterbury urged world leaders, new in an",1,2021-09-07 18:52:00.700000+00:00,18_archbishop of canterbury_the archbish...
19,"you global far right power, aided by big tech, brooklynmarie the fuck did, by big tech on, cusp of climate meltdown",3,2021-09-07 18:52:00.700000+00:00,19_aided by big_you global far right_the...
22,"90 of the, for 90 of, to too many, can be reduced, elite overproduction can be",1,2021-09-07 18:52:00.700000+00:00,22_house who are crippled by_are cripple...
23,"100 million franklin, rt erichaftellive net worth kenneth, 100 million joel osteen 100, worth kenneth copeland, million franklin graham",1,2021-09-07 18:52:00.700000+00:00,23_franklin graham is_that cnn takes adv...
24,"is no danger of, little we are in danger, doing too much, change the danger is in, doing too little we are",4,2021-09-07 18:52:00.700000+00:00,24_is no danger of_is in doing_of doing ...
25,"climate private jets and ferraris, marie antoinette does climate, exempt from eu, exempt from eu climate, does climate private jets and",1,2021-09-07 18:52:00.700000+00:00,25_does climate private_does climate pri...
27,"think that you, or will be, have 500 openings, energy we have 500 openings, energy we have",3,2021-09-07 18:52:00.700000+00:00,27_think that you_be posting soon if you...
28,"and here something, and here something that, time on this but, time on this, from vacation and",1,2021-09-07 18:52:00.700000+00:00,28_wow it like back in_here what filgmar...
